YEAR,dma_code,weight,HINCP_ADJ,AGEP,RAC1P,ESR
2008,500,0.002,373239.5685,65.0,1.0,1.0
2008,500,0.002,35745.4539,79.0,1.0,6.0
2008,500,0.002,77397.564,59.0,1.0,6.0
2008,500,0.002,23830.3026,64.0,1.0,6.0
2008,500,0.002,92673.399,53.0,1.0,1.0
2008,500,0.002,20571.4578,36.0,1.0,2.0
2008,500,0.002,173126.13,40.0,6.0,1.0
2008,500,0.002,71287.23,47.0,1.0,1.0
2008,500,0.002,85748.3538,60.0,1.0,6.0
2008,500,0.002,81674.7978,58.0,1.0,1.0
2008,500,0.002,5051.20944,67.0,1.0,6.0
2008,500,0.002,29635.119899999998,36.0,1.0,6.0
2008,500,0.002,128622.5307,51.0,1.0,1.0
2008,500,0.002,41855.7879,68.0,1.0,6.0
2008,500,0.002,34727.0649,49.0,1.0,1.0
2008,500,0.002,9776.5344,42.0,1.0,6.0
2008,500,0.002,38698.782,54.0,1.0,1.0
2008,500,0.002,80452.731,48.0,1.0,1.0
2008,500,0.002,107847.3951,58.0,1.0,1.0
2008,500,0.002,122206.68,39.0,1.0,1.0
2008,500,0.002,76379.175,28.0,1.0,1.0
2008,500,0.002,24441.336,22.0,1.0,1.0
2008,500,0.002,33403.1592,77.0,1.0,6.0
2008,500,0.002,113754.05129999999,53.0,1.0,6.0
2008,500,0.002,52956.228,36.0,1.0,6.0
2008,500,0.002,27496.503,61.0,9.0,6.0
2008,500,0.002,91451.3322,66.0,1.0,1.0
2008,500,0.002,62325.4068,60.0,1.0,3.0
2008,500,0.002,38026.64526,60.0,1.0,6.0
2008,500,0.002,47640.23742,20.0,1.0,6.0
2008,500,0.002,72814.8135,45.0,1.0,1.0
2008,500,0.002,127298.625,36.0,1.0,1.0
2008,500,0.002,36050.9706,61.0,1.0,1.0
2008,500,0.002,108000.15345,57.0,1.0,1.0
2008,500,0.002,114568.7625,42.0,1.0,1.0
2008,500,0.002,41346.5934,78.0,1.0,6.0
2008,500,0.002,59086.92978,53.0,1.0,6.0
2008,500,0.002,105861.53655,50.0,1.0,1.0
2008,500,0.002,203453.75442,57.0,1.0,1.0
2008,500,0.002,50919.45,50.0,1.0,1.0
2008,500,0.002,104690.3892,49.0,1.0,1.0
2008,500,0.002,81471.12,38.0,9.0,1.0
2008,500,0.002,66195.285,56.0,1.0,1.0
2008,500,0.002,63140.118,36.0,1.0,1.0
2008,500,0.002,71287.23,33.0,1.0,1.0
2008,500,0.002,55604.0394,58.0,1.0,1.0
2008,500,0.002,63140.118,36.0,1.0,1.0
2008,500,0.002,33403.1592,74.0,1.0,6.0
2008,500,0.002,19349.391,38.0,1.0,1.0
2008,500,0.002,146749.8549,34.0,9.0,1.0
2008,500,0.002,40837.3989,68.0,1.0,1.0
2008,500,0.002,66602.6406,94.0,1.0,6.0
2008,500,0.002,111819.1122,62.0,1.0,6.0
2008,500,0.002,104894.067,21.0,2.0,1.0
2008,500,0.002,82082.1534,40.0,1.0,1.0
2008,500,0.002,98783.733,37.0,1.0,1.0
2008,500,0.002,38780.25312,51.0,1.0,1.0
2008,500,0.002,73731.3636,63.0,1.0,1.0
2008,500,0.002,35338.0983,79.0,1.0,6.0
