YEAR_,dma_code_,hhinc_per_person_mean,hhinc_per_person_median,unemployed_sum,inlaborforce_sum,employed
2006,544,37651.19650090837,32501.6,11.0,362.0,0.9696132596685083
2006,545,28077.819135097707,23360.525,17.0,342.0,0.9502923976608187
2006,546,31071.19747427504,23730.823177083337,21.0,334.0,0.937125748502994
2006,547,30554.691695987513,25696.577500000003,23.0,341.0,0.9325513196480939
2006,548,42854.71629997258,29014.449166666673,14.0,293.0,0.9522184300341296
2006,549,25711.998154966645,20044.346125,22.0,293.0,0.9249146757679181
2006,550,34635.448873975,26128.239375,15.0,267.0,0.9438202247191011
2006,551,30195.559680575036,26610.685000000005,20.0,319.0,0.9373040752351097
2006,552,21115.68587049166,17613.497291666667,11.0,291.0,0.9621993127147767
2006,553,26827.335587224996,24274.6325,13.0,299.0,0.9565217391304348
2006,554,25636.781665725,20821.3375,25.0,289.0,0.9134948096885813
2006,555,35338.06812421667,27423.225,13.0,331.0,0.9607250755287009
2006,556,39266.633513179164,31368.106700000008,19.0,349.0,0.9455587392550143
2006,557,27262.706707324985,21837.012500000004,17.0,285.0,0.9403508771929825
2006,558,31891.106534958337,27283.400408333335,19.0,335.0,0.9432835820895522
2006,559,22463.770645933342,18282.15,25.0,252.0,0.9007936507936508
2006,560,34683.56128587224,27156.610312500008,18.0,335.0,0.9462686567164179
2006,561,37121.03514152503,28946.737500000007,15.0,324.0,0.9537037037037037
2006,563,31101.446645683336,25882.784583333334,24.0,347.0,0.930835734870317
2006,564,26732.44716602502,20211.932500000003,11.0,277.0,0.9602888086642599
2006,565,28017.848204608323,21334.253375,22.0,309.0,0.9288025889967637
2006,566,33178.844235446675,27359.7453125,14.0,336.0,0.9583333333333334
2006,567,28433.266727891678,22344.85,23.0,294.0,0.9217687074829932
2006,569,28735.72898739999,24706.294375000005,18.0,316.0,0.9430379746835443
2006,570,27500.260901725007,21126.04,19.0,303.0,0.9372937293729373
2006,571,37283.9668472792,29175.264375000006,13.0,270.0,0.9518518518518518
2006,573,28105.601847491696,23919.146250000005,7.0,294.0,0.9761904761904762
2006,574,26444.321255872615,22776.511875000004,14.0,327.0,0.9571865443425076
2006,575,28647.488159074994,22768.04791666667,25.0,334.0,0.9251497005988024
2006,576,35394.58231256664,27143.914375000004,20.0,305.0,0.9344262295081968
2006,577,30550.318949102388,24376.2,17.0,316.0,0.9462025316455697
2006,581,25217.417583624967,21190.366083333334,9.0,310.0,0.9709677419354839
2006,582,30098.10160162499,23993.629083333333,20.0,332.0,0.9397590361445783
2006,583,27412.913867399988,21644.034250000004,20.0,276.0,0.927536231884058
2006,584,38180.276311513124,28718.210625,15.0,343.0,0.956268221574344
2006,588,32845.63062095415,26458.333750000005,27.0,348.0,0.9224137931034483
2006,592,31061.78927674997,21109.112083333337,13.0,307.0,0.9576547231270358
2006,596,26967.96222358332,22344.85,29.0,346.0,0.9161849710982659
2006,597,24310.31925679999,18840.771250000005,13.0,258.0,0.9496124031007752
2006,598,23226.436553809523,19297.825,16.0,271.0,0.940959409594096
2006,600,27179.91969100894,20101.90104166667,16.0,295.0,0.9457627118644067
2006,602,39722.3638628369,30096.9894375,21.0,337.0,0.9376854599406528
2006,603,25038.0788332,20313.500000000004,15.0,305.0,0.9508196721311475
2006,604,27431.141170950003,24274.632500000003,9.0,363.0,0.9752066115702479
2006,605,31807.58724114999,25290.307500000003,15.0,342.0,0.956140350877193
2006,606,27054.585226729767,20512.403020833335,14.0,286.0,0.951048951048951
2006,609,34936.98270980238,27992.003000000004,19.0,322.0,0.9409937888198758
2006,610,30604.358034208286,27215.858020833337,25.0,337.0,0.9258160237388724
2006,611,36479.67937593332,29759.277500000004,12.0,346.0,0.9653179190751445
2006,612,25707.507009395795,19907.23,14.0,278.0,0.9496402877697842
2006,613,38602.50688963666,30537.96166666667,21.0,352.0,0.9403409090909091
2006,616,34740.050195200005,27846.42291666667,23.0,354.0,0.9350282485875706
2006,617,38973.32705595836,31028.871250000004,26.0,369.0,0.929539295392954
2006,618,38449.76422267445,29420.719166666673,26.0,338.0,0.9230769230769231
2006,619,25594.942288333335,20542.026875000003,14.0,301.0,0.9534883720930233
2006,622,30611.514746268447,21329.175000000007,24.0,304.0,0.9210526315789473
2006,623,39883.574990958325,29615.390208333338,18.0,345.0,0.9478260869565217
2006,624,27076.70038908337,22446.417500000003,13.0,357.0,0.9635854341736695
2006,625,29995.305473433327,23563.660000000003,21.0,316.0,0.9335443037974683
2006,626,35623.61262380831,26052.06375,13.0,328.0,0.9603658536585366
2006,627,29571.553336775014,21904.724166666667,23.0,310.0,0.9258064516129032
2006,628,24959.51975753334,18552.99666666667,21.0,301.0,0.9302325581395349
2006,630,33893.38419231668,23995.321875000005,13.0,310.0,0.9580645161290322
2006,631,24254.791675798806,19364.097793750007,16.0,312.0,0.9487179487179487
2006,632,25531.77552546427,21862.404375000006,18.0,303.0,0.9405940594059405
2006,633,35748.62359560001,24376.2,13.0,331.0,0.9607250755287009
2006,634,30763.93885885833,21918.266500000005,10.0,318.0,0.9685534591194969
2006,635,42423.784840394066,30978.0875,16.0,360.0,0.9555555555555556
2006,636,19198.148711032743,12792.426625000002,19.0,281.0,0.9323843416370107
2006,637,32046.236671758343,25713.50541666667,23.0,373.0,0.938337801608579
2006,638,29487.634544133354,25738.897291666668,7.0,347.0,0.9798270893371758
2006,639,26465.35612695,23479.02041666667,25.0,308.0,0.9188311688311688
2006,640,30116.18637211668,23360.525,28.0,326.0,0.9141104294478528
2006,641,32383.432839820212,25010.996875000004,20.0,310.0,0.935483870967742
2006,642,28442.175619586666,22344.85,15.0,316.0,0.9525316455696202
2006,643,28583.709355287516,20905.97708333334,28.0,298.0,0.9060402684563759
2006,644,26936.754187263323,21278.39125,14.0,301.0,0.9534883720930233
2006,647,21328.116328091663,15235.125000000002,32.0,277.0,0.8844765342960289
2006,648,31422.262964981655,25391.875000000004,15.0,343.0,0.956268221574344
2006,649,28960.06112465,24376.2,14.0,317.0,0.9558359621451105
2006,650,33383.94903554166,25264.915625000005,11.0,321.0,0.9657320872274143
2006,651,27480.75147776665,21430.742500000004,16.0,315.0,0.9492063492063492
2006,652,32332.916841096434,26157.1861125,18.0,359.0,0.9498607242339833
2006,656,29985.293626400024,23606.826187500003,19.0,303.0,0.9372937293729373
2006,657,26238.80033856665,21346.949312500008,15.0,283.0,0.9469964664310954
2006,658,30299.75898796189,26877.299687500003,13.0,344.0,0.9622093023255814
2006,659,32633.77781641905,25287.768312500004,20.0,335.0,0.9402985074626866
2006,661,33379.726197449985,24426.98375,17.0,321.0,0.9470404984423676
2006,662,28459.17118020834,21842.090875,19.0,307.0,0.9381107491856677
2006,669,34996.63052153752,29810.06125,15.0,362.0,0.9585635359116023
2006,670,29348.983666496664,22065.539375000004,11.0,319.0,0.9655172413793104
2006,671,31307.126250116675,23487.484375000004,13.0,310.0,0.9580645161290322
2006,673,24321.659268175015,19346.0695625,20.0,310.0,0.935483870967742
2006,675,32343.082248516635,25899.712500000005,17.0,326.0,0.9478527607361963
2006,676,29024.730506133346,23477.327624999998,19.0,320.0,0.940625
2006,678,30325.58673263334,25391.875000000004,16.0,342.0,0.9532163742690059
2006,679,34211.85348982497,27947.990416666667,12.0,370.0,0.9675675675675676
2006,682,32041.833043516654,26079.14841666667,14.0,335.0,0.9582089552238806
2006,686,29103.515400208347,23741.403125000004,24.0,289.0,0.9169550173010381
2006,687,29240.805544191673,25065.3354875,9.0,351.0,0.9743589743589743
2006,691,28839.35018224997,22344.85,23.0,313.0,0.9265175718849841
2006,692,31597.064695181685,24037.641666666666,17.0,300.0,0.9433333333333334
2006,693,29366.688884077386,22514.129166666666,19.0,313.0,0.939297124600639
2006,698,29548.9962107,23969.930000000004,14.0,315.0,0.9555555555555556
2006,702,30229.268918149995,25391.875000000004,11.0,356.0,0.9691011235955056
2006,705,32762.430079816655,26407.550000000007,17.0,338.0,0.9497041420118343
2006,709,28530.770608947623,21329.175000000007,25.0,301.0,0.9169435215946844
2006,710,25823.703784258323,19619.45541666667,16.0,300.0,0.9466666666666667
2006,711,25648.1298025,18722.275833333333,13.0,259.0,0.9498069498069498
2006,716,32644.78300972422,25214.131875000003,21.0,337.0,0.9376854599406528
2006,717,27226.838579989282,23375.760125,8.0,321.0,0.9750778816199377
2006,718,28921.808095683326,21278.39125,24.0,311.0,0.9228295819935691
2006,722,31743.19683173334,24884.0375,7.0,353.0,0.9801699716713881
2006,724,31537.860525450014,27423.225,13.0,337.0,0.9614243323442137
2006,725,29849.77312682498,24426.98375,5.0,350.0,0.9857142857142858
2006,734,23334.322954908315,19221.649375,22.0,302.0,0.9271523178807947
2006,736,28012.069352416678,22344.850000000002,23.0,319.0,0.9278996865203761
2006,737,31301.79226357499,26307.25209375,8.0,349.0,0.9770773638968482
2006,740,28330.700311529206,24147.673125000005,8.0,336.0,0.9761904761904762
2006,746,29140.589423961897,22370.241875,25.0,300.0,0.9166666666666666
2006,749,21577.42966908334,13533.869375000002,16.0,319.0,0.9498432601880877
2006,751,39475.05672179757,30675.9241875,17.0,370.0,0.9540540540540541
2006,752,35368.165960050006,28438.9,15.0,337.0,0.9554896142433235
2006,753,36641.11346889998,27592.504166666666,8.0,325.0,0.9753846153846154
2006,754,31277.31111049165,26305.9825,13.0,351.0,0.962962962962963
2006,755,27146.79318487381,23385.916875000003,15.0,322.0,0.953416149068323
2006,756,31399.519259409164,26610.685,13.0,365.0,0.9643835616438357
2006,757,35808.606652633345,27423.225,18.0,345.0,0.9478260869565217
2006,758,28242.236474830024,22581.840833333335,13.0,344.0,0.9622093023255814
2006,759,29804.046954670226,24579.335,13.0,346.0,0.9624277456647399
2006,760,27610.623470108323,21600.02166666667,7.0,315.0,0.9777777777777777
2006,762,27897.12507410832,22344.85,16.0,313.0,0.9488817891373802
2006,764,34424.31209613215,26636.076875000002,14.0,342.0,0.9590643274853801
2006,765,24041.094792387496,16927.916666666668,21.0,292.0,0.928082191780822
2006,766,27818.68584809165,24376.2,12.0,331.0,0.9637462235649547
2006,767,33058.31313523334,26407.550000000003,10.0,326.0,0.9693251533742331
2006,770,32646.45805932204,27161.519408333334,9.0,330.0,0.9727272727272728
2006,771,25138.031119757146,18536.068750000006,27.0,280.0,0.9035714285714286
2006,773,32657.082914583312,26420.245937500003,10.0,325.0,0.9692307692307692
2006,789,31841.332027349985,24035.948875000002,17.0,308.0,0.9448051948051948
2006,790,29941.568624188105,22090.93125,23.0,329.0,0.9300911854103343
2006,798,26577.17551184166,22243.2825,17.0,333.0,0.948948948948949
2006,800,31912.28036004879,23258.957500000004,33.0,324.0,0.8981481481481481
2006,801,29412.36456267501,24477.767500000005,15.0,304.0,0.9506578947368421
2006,802,27495.439492500012,24376.2,25.0,311.0,0.9196141479099679
2006,803,37345.36128145599,25970.80975,16.0,340.0,0.9529411764705882
2006,807,49147.18703156264,34126.68000000001,21.0,321.0,0.9345794392523364
2006,810,30426.33207757667,25781.217083333337,27.0,339.0,0.9203539823008849
2006,811,36259.70820857498,28540.467500000002,15.0,301.0,0.9501661129568106
2006,813,31164.889768883346,24223.84875,18.0,287.0,0.9372822299651568
2006,819,41180.94711365003,32171.505625000005,14.0,346.0,0.9595375722543352
2006,820,35856.03613594582,28438.9,14.0,326.0,0.9570552147239264
2006,821,35810.514090283315,28015.702083333337,10.0,332.0,0.9698795180722891
2006,825,43339.02532102004,30571.8175,11.0,322.0,0.9658385093167702
2006,828,41875.21816026473,28997.521249999998,25.0,340.0,0.9264705882352942
2006,839,39932.65493808494,27423.225,23.0,348.0,0.9339080459770115
2006,855,41615.86882174519,29322.53725,13.0,314.0,0.9585987261146497
2006,862,36480.96560740715,28361.031583333337,25.0,338.0,0.9260355029585798
2006,866,28867.560797202383,21473.06229166667,33.0,325.0,0.8984615384615384
2006,868,33250.53901188571,25391.875000000004,24.0,292.0,0.9178082191780822
2006,881,30220.776520916654,24287.3284375,14.0,301.0,0.9534883720930233
