YEAR,dma_code,weight,HINCP
2007,500,0.002,91000.0
2007,500,0.002,80100.0
2007,500,0.002,57000.0
2007,500,0.002,113100.0
2007,500,0.002,93100.0
2007,500,0.002,116001.0
2007,500,0.002,32000.0
2007,500,0.002,81630.0
2007,500,0.002,65200.0
2007,500,0.002,30000.0
2007,500,0.002,103100.0
2007,500,0.002,374200.0
2007,500,0.002,7700.0
2007,500,0.002,12900.0
2007,500,0.002,61000.0
2007,500,0.002,96500.0
2007,500,0.002,25200.0
2007,500,0.002,15000.0
2007,500,0.002,36000.0
2007,500,0.002,118100.0
2007,500,0.002,59500.0
2007,500,0.002,50500.0
2007,500,0.002,89600.0
2007,500,0.002,0.0
2007,500,0.002,44800.0
2007,500,0.002,15000.0
2007,500,0.002,182700.0
2007,500,0.002,109400.0
2007,500,0.002,48000.0
2007,500,0.002,85500.0
2007,500,0.002,166000.0
2007,500,0.002,50200.0
2007,500,0.002,8520.0
2007,500,0.002,8700.0
2007,500,0.002,76400.0
2007,500,0.002,41170.0
2007,500,0.002,56000.0
2007,500,0.002,42200.0
2007,500,0.002,18130.0
2007,500,0.002,18700.0
2007,500,0.002,65000.0
2007,500,0.002,82400.0
2007,500,0.002,95800.0
2007,500,0.002,44000.0
2007,500,0.002,98800.0
2007,500,0.002,96400.0
2007,500,0.002,10900.0
2007,500,0.002,44100.0
2007,500,0.002,46300.0
2007,500,0.002,78000.0
2007,500,0.002,82900.0
2007,500,0.002,6200.0
2007,500,0.002,48000.0
2007,500,0.002,62000.0
2007,500,0.002,67600.0
2007,500,0.002,53000.0
2007,500,0.002,103000.0
2007,500,0.002,52300.0
2007,500,0.002,12600.0
2007,500,0.002,33600.0
2007,500,0.002,92100.0
2007,500,0.002,8210.0
2007,500,0.002,42000.0
2007,500,0.002,124000.0
2007,500,0.002,128000.0
2007,500,0.002,147560.0
2007,500,0.002,8200.0
2007,500,0.002,70000.0
2007,500,0.002,83700.0
2007,500,0.002,40100.0
2007,500,0.002,90000.0
2007,500,0.002,800.0
2007,500,0.002,77100.0
2007,500,0.002,8000.0
2007,500,0.002,20600.0
2007,500,0.002,42650.0
2007,500,0.002,87600.0
2007,500,0.002,68000.0
2007,500,0.002,57200.0
2007,500,0.002,21000.0
2007,500,0.002,45000.0
2007,500,0.002,42000.0
2007,500,0.002,88000.0
2007,500,0.002,67000.0
2007,500,0.002,140000.0
2007,500,0.002,102000.0
2007,500,0.002,124020.0
