YEAR,dma_code,weight,hhmember,HINCP,AGEP,RAC1P
2009,502,0.01,2,18400.0,22.0,1.0
2009,502,0.01,1,52000.0,48.0,5.0
2009,502,0.01,2,22100.0,37.0,1.0
2009,502,0.01,1,10000.0,54.0,2.0
2009,502,0.01,2,35700.0,31.0,1.0
2009,502,0.01,3,132000.0,43.0,1.0
2009,502,0.01,2,46400.0,48.0,1.0
2009,502,0.01,3,75010.0,53.0,1.0
2009,502,0.01,2,1400.0,27.0,1.0
2009,502,0.01,2,107004.0,35.0,1.0
2009,502,0.01,1,17400.0,61.0,1.0
2009,502,0.01,1,0.0,79.0,1.0
2009,502,0.01,1,17004.0,26.0,1.0
2009,502,0.01,1,22900.0,73.0,1.0
2009,502,0.01,2,244000.0,55.0,1.0
2009,502,0.01,1,12000.0,43.0,1.0
2009,502,0.01,2,35500.0,89.0,1.0
2009,502,0.01,2,22800.0,69.0,1.0
2009,502,0.01,3,171000.0,48.0,1.0
2009,502,0.01,1,14000.0,68.0,1.0
2009,502,0.01,3,122990.0,27.0,1.0
2009,502,0.01,3,32400.0,71.0,1.0
2009,502,0.01,1,24200.0,63.0,1.0
2009,502,0.01,3,34580.0,31.0,1.0
2009,502,0.01,2,48700.0,74.0,1.0
2009,502,0.01,2,63904.0,63.0,1.0
2009,502,0.01,1,230040.0,38.0,1.0
2009,502,0.01,2,26300.0,76.0,1.0
2009,502,0.01,2,141000.0,44.0,1.0
2009,502,0.01,1,50700.0,75.0,1.0
2009,502,0.01,3,32000.0,85.0,1.0
2009,502,0.01,2,89000.0,39.0,1.0
2009,502,0.01,2,55600.0,67.0,1.0
2009,502,0.01,1,18900.0,71.0,1.0
2009,502,0.01,2,139500.0,61.0,1.0
2009,502,0.01,2,44340.0,27.0,1.0
2009,502,0.01,3,54100.0,21.0,1.0
2009,502,0.01,1,47200.0,56.0,1.0
2009,502,0.01,3,54100.0,21.0,1.0
2009,502,0.01,2,36300.0,25.0,1.0
2009,502,0.01,5,61830.0,32.0,1.0
2009,502,0.01,2,36000.0,28.0,1.0
2009,502,0.01,2,85600.0,35.0,1.0
2009,502,0.01,2,53200.0,48.0,1.0
2009,502,0.01,3,76000.0,23.0,1.0
2009,502,0.01,2,32000.0,20.0,1.0
2009,502,0.01,2,66780.0,52.0,1.0
2009,502,0.01,3,68600.0,67.0,1.0
2009,502,0.01,2,95000.0,71.0,1.0
2009,502,0.01,1,32000.0,50.0,1.0
2009,502,0.01,2,51600.0,80.0,1.0
2009,502,0.01,3,23000.0,21.0,1.0
2009,502,0.01,4,64700.0,54.0,1.0
2009,502,0.01,1,24000.0,43.0,1.0
2009,502,0.01,3,99000.0,53.0,1.0
2009,502,0.01,2,110100.0,58.0,1.0
2009,502,0.01,3,35800.0,27.0,1.0
2009,502,0.01,1,24000.0,43.0,1.0
2009,502,0.01,2,163000.0,40.0,1.0
2009,502,0.01,5,361500.0,40.0,1.0
2009,502,0.01,2,45400.0,72.0,1.0
2009,502,0.01,2,55200.0,48.0,1.0
2009,502,0.01,2,63600.0,28.0,1.0
2009,502,0.01,2,36000.0,28.0,1.0
2009,502,0.01,2,35700.0,71.0,1.0
2009,502,0.01,2,61500.0,24.0,1.0
2009,502,0.01,3,19530.0,55.0,1.0
2009,502,0.01,2,56000.0,33.0,1.0
2009,502,0.01,3,67500.0,18.0,1.0
2009,502,0.01,4,106300.0,21.0,1.0
2009,502,0.01,2,59180.0,48.0,1.0
2009,502,0.01,2,32000.0,20.0,1.0
2009,502,0.01,2,76200.0,40.0,1.0
2009,502,0.01,1,25550.0,33.0,1.0
2009,502,0.01,2,161900.0,60.0,1.0
2009,503,0.01,3,16700.0,29.0,2.0
2009,503,0.01,1,34900.0,74.0,1.0
2009,503,0.01,2,12200.0,34.0,1.0
2009,503,0.01,1,12300.0,75.0,2.0
2009,503,0.01,2,71000.0,49.0,1.0
2009,503,0.01,2,52900.0,34.0,1.0
2009,503,0.01,3,21800.0,45.0,8.0
2009,503,0.01,2,52000.0,32.0,2.0
2009,503,0.01,2,32500.0,32.0,2.0
2009,503,0.01,2,40000.0,47.0,1.0
2009,503,0.01,2,63200.0,45.0,2.0
2009,503,0.01,3,106000.0,20.0,1.0
2009,503,0.01,2,48600.0,64.0,1.0
2009,503,0.01,2,96100.0,56.0,1.0
2009,503,0.01,2,33000.0,40.0,1.0
2009,503,0.01,3,95000.0,50.0,1.0
2009,503,0.01,4,77700.0,57.0,2.0
2009,503,0.01,1,29000.0,48.0,2.0
2009,503,0.01,3,45500.0,19.0,1.0
2009,503,0.01,3,103000.0,58.0,1.0
2009,503,0.01,3,82600.0,44.0,1.0
2009,503,0.01,2,80360.0,67.0,1.0
2009,503,0.01,3,83000.0,20.0,1.0
2009,503,0.01,3,43300.0,23.0,1.0
2009,503,0.01,2,101200.0,66.0,1.0
2009,503,0.01,4,39500.0,26.0,1.0
2009,503,0.01,2,28800.0,87.0,1.0
2009,503,0.01,2,42000.0,61.0,1.0
2009,503,0.01,2,84000.0,56.0,1.0
2009,503,0.01,2,96100.0,56.0,1.0
2009,503,0.01,2,100600.0,64.0,1.0
2009,503,0.01,2,42100.0,79.0,1.0
2009,503,0.01,2,43000.0,59.0,2.0
2009,503,0.01,2,119000.0,36.0,1.0
2009,503,0.01,2,176040.0,44.0,1.0
2009,503,0.01,2,34000.0,23.0,2.0
2009,503,0.01,2,2600.0,47.0,2.0
2009,503,0.01,2,156800.0,80.0,2.0
2009,503,0.01,2,8700.0,35.0,1.0
2009,503,0.01,2,139000.0,37.0,1.0
2009,503,0.01,2,110000.0,51.0,8.0
2009,503,0.01,3,76400.0,68.0,2.0
2009,503,0.01,3,7100.0,21.0,1.0
2009,503,0.01,2,78000.0,21.0,1.0
2009,503,0.01,2,36400.0,61.0,1.0
2009,503,0.01,2,12700.0,55.0,1.0
2009,503,0.01,2,100600.0,32.0,1.0
2009,503,0.01,3,27200.0,34.0,1.0
2009,503,0.01,2,17900.0,86.0,1.0
2009,503,0.01,2,18600.0,76.0,1.0
2009,503,0.01,1,2400.0,72.0,2.0
2009,503,0.01,3,15400.0,19.0,2.0
2009,503,0.01,2,24000.0,31.0,2.0
2009,503,0.01,1,24000.0,74.0,1.0
2009,503,0.01,2,118300.0,46.0,2.0
2009,503,0.01,2,22700.0,48.0,2.0
2009,503,0.01,2,50200.0,56.0,1.0
2009,503,0.01,2,71000.0,49.0,1.0
2009,503,0.01,2,15600.0,43.0,1.0
2009,503,0.01,2,75700.0,60.0,2.0
2009,503,0.01,2,61400.0,92.0,1.0
2009,503,0.01,2,51400.0,54.0,1.0
2009,503,0.01,2,78010.0,30.0,1.0
2009,503,0.01,2,51400.0,54.0,1.0
2009,503,0.01,1,20200.0,61.0,2.0
2009,503,0.01,2,39100.0,34.0,2.0
2009,503,0.01,1,9600.0,28.0,2.0
2009,503,0.01,7,67600.0,47.0,2.0
2009,503,0.01,3,110200.0,54.0,1.0
2009,503,0.01,3,396000.0,26.0,1.0
2009,503,0.01,2,75000.0,61.0,1.0
2009,503,0.01,1,153000.0,65.0,2.0
2009,503,0.01,3,64960.0,64.0,1.0
2009,503,0.01,2,115000.0,31.0,1.0
2009,503,0.01,2,14000.0,60.0,2.0
2009,503,0.01,2,113970.0,37.0,1.0
2009,503,0.01,2,83520.0,59.0,1.0
2009,503,0.01,1,3600.0,85.0,2.0
2009,503,0.01,2,49000.0,50.0,2.0
2009,503,0.01,1,2940.0,61.0,2.0
2009,503,0.01,2,89000.0,37.0,1.0
2009,503,0.01,2,0.0,54.0,1.0
2009,503,0.01,2,49000.0,42.0,2.0
2009,503,0.01,3,149500.0,83.0,1.0
2009,503,0.01,2,50800.0,42.0,2.0
2009,503,0.01,2,225000.0,29.0,1.0
2009,503,0.01,2,26000.0,20.0,1.0
2009,503,0.01,2,56004.0,50.0,1.0
2009,503,0.01,4,101940.0,88.0,1.0
2009,503,0.01,2,41800.0,63.0,1.0
2009,503,0.01,4,70100.0,21.0,2.0
2009,503,0.01,2,29500.0,37.0,2.0
2009,503,0.01,3,101400.0,49.0,1.0
2009,503,0.01,1,16000.0,28.0,1.0
2009,503,0.01,2,41800.0,64.0,2.0
2009,503,0.01,2,108700.0,38.0,2.0
2009,503,0.01,3,22650.0,42.0,2.0
2009,503,0.01,2,42400.0,39.0,2.0
2009,503,0.01,3,52560.0,22.0,2.0
2009,503,0.01,2,31800.0,44.0,1.0
2009,504,0.01,2,119030.0,54.0,1.0
2009,504,0.01,2,81000.0,31.0,2.0
2009,504,0.01,3,96800.0,22.0,1.0
2009,504,0.01,2,115000.0,36.0,1.0
2009,504,0.01,2,60000.0,43.0,1.0
2009,504,0.01,1,13000.0,65.0,1.0
2009,504,0.01,2,37000.0,43.0,1.0
2009,504,0.01,1,22400.0,84.0,1.0
2009,504,0.01,2,89500.0,25.0,1.0
2009,504,0.01,1,26600.0,73.0,1.0
2009,504,0.01,1,67000.0,27.0,9.0
2009,504,0.01,5,203500.0,22.0,1.0
2009,504,0.01,2,302600.0,69.0,1.0
2009,504,0.01,1,96180.0,78.0,1.0
2009,504,0.01,2,156000.0,56.0,1.0
