,store_code_uc,upc,units,prmult,price,feature,display,year,month,dma_code,sales,module,upc_ver_uc,brand_code_uc,brand_descr,multi,size1_units,size1_amount,conversion,volume,prices,total_sales,market_size,shares
51,2372769,2150000064,158,1.0,2.676419753086421,0.0,0.0,2006,1,679,461.3477125567321,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,17.916884,25.74932742527842,471.91434538577903,29.086587,0.6159844054580896
52,4504630,2150000064,61,1.0,2.667428571428571,0.0,0.0,2006,1,682,176.43107927382752,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,6.917278,25.505853498128534,185.83942556732222,15.819021,0.43727598566308246
53,7502565,2150000064,2,1.0,2.89,0.0,0.0,2006,1,687,6.315939788199699,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.226796,27.84855018695082,33.54660060514372,2.041164,0.1111111111111111
54,6379386,2150000064,14,1.0,2.05,0.0,0.0,2006,1,693,31.317445385779127,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,1.587572,19.72662996436012,472.9415051437221,43.204638,0.03674540682414698
55,6867840,2150000064,4,1.0,2.75,,,2006,1,702,12.019954614220879,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.453592,26.499485472012026,12.019954614220879,1.7009699999999999,0.26666666666666666
56,8206253,2150000064,10,1.0,2.5774999999999997,,,2006,1,717,28.41080181543117,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,1.13398,25.054058991720463,34.68303267776098,2.6365035,0.43010752688172044
57,2311546,2150000064,31,1.0,2.6380000000000003,0.0,0.0,2006,1,722,90.21522299546143,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,3.515338,25.66331402427347,119.03033237518912,5.273007,0.6666666666666666
58,8011799,2150000064,30,1.0,2.6900000000000004,0.0,0.0,2006,1,725,88.70726505295008,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,3.4019399999999997,26.075493704459834,192.76729031770049,5.783298,0.588235294117647
59,5883225,2150000064,1,1.0,2.19,0.0,0.0,2006,1,734,2.3930636913767023,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.113398,21.10322661225685,18.029931921331322,1.7860184999999997,0.0634920634920635
60,6664067,2150000064,5,1.0,2.5740000000000003,,,2006,1,737,14.063346898638429,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.56699,24.80351840180326,84.50028093797278,2.8066004999999996,0.20202020202020204
61,2341018,2150000064,469,1.0,2.431958333333338,0.0,0.0,2006,1,751,1252.4464891074153,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,53.183662,23.549459401788006,2766.8624254160404,212.45115299999998,0.25033360021350415
62,5041032,2150000064,115,1.0,2.432545454545454,0.0,0.0,2006,1,752,308.4757443267776,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,13.04077,23.654718573119347,522.1359012102876,53.750652,0.24261603375527427
63,4067067,2150000064,1005,1.0,2.0342396313364106,0.0,0.0,2006,1,753,2239.5907254160434,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,113.96499,19.65156777898233,4873.2611264750485,334.58079900000007,0.34062023385866796
64,7622256,2150000064,25,1.0,2.813529411764706,0.0,0.0,2006,1,754,76.87307337367625,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,2.83495,27.116200770269757,159.94188698941,8.7599955,0.32362459546925565
65,7575105,2150000064,10,1.0,2.89,0.0,0.0,2006,1,755,31.579698940998494,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,1.13398,27.84855018695082,84.67511664145235,6.123492000000001,0.18518518518518517
66,7463877,2150000064,21,1.0,2.896666666666667,0.0,0.0,2006,1,756,66.42664009077157,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,2.381358,27.89443674188071,176.2125346444781,5.613201,0.42424242424242425
67,2908039,2150000064,61,1.0,2.189999999999999,0.0,0.0,2006,1,757,145.97688517397881,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,6.917278,21.103226612256847,863.7211568835099,10.375917,0.6666666666666666
68,2867739,2150000064,10,1.0,2.44,0.0,0.0,2006,1,758,28.301529500756438,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,1.13398,24.957697226367696,188.3854704992436,4.3374735,0.26143790849673204
69,2701703,2150000064,20,1.0,2.8263636363636375,0.0,0.0,2006,1,759,63.37794251134647,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,2.26796,27.9449119523036,144.58912677760972,4.422522000000001,0.5128205128205128
70,2845977,2150000064,8,1.0,2.79,0.0,0.0,2006,1,760,23.515402118003028,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.907184,25.921314879895398,121.30319652042363,2.5514550000000003,0.3555555555555555
71,7674243,2150000064,19,1.0,2.831176470588235,,,2006,1,762,58.79943252647504,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,2.154562,27.29066628227688,213.3541944024206,10.1207715,0.21288515406162464
72,7273661,2150000064,30,1.0,2.990000000000001,0.0,0.0,2006,1,764,98.01726626323753,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,3.4019399999999997,28.812167840478534,98.01726626323753,6.633782999999999,0.5128205128205129
73,289146,2150000064,7,1.0,2.85,0.0,0.0,2006,1,766,21.668700000000005,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.793786,27.29791152779213,89.59237080181545,2.551455,0.3111111111111111
74,2746436,2150000064,26,1.0,2.990000000000001,0.0,0.0,2006,1,767,84.9482974281392,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,2.948348,28.812167840478534,117.62071951588506,5.3580555,0.5502645502645503
