store_code_uc,year,parent_code,retailer_code,channel_code,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,dma_code,dma_descr
1234802,2012,5851,5851,M,845.0,49.0,UT,7.0,CARBON,770.0,SALT LAKE CITY UT
1235051,2012,90,90,F,211.0,24.0,MD,5.0,BALTIMORE,512.0,BALTIMORE MD
1235159,2012,87,87,F,550.0,27.0,MN,163.0,WASHINGTON,613.0,MINNEAPOLIS-ST PAUL MN
1235562,2012,6904,6904,M,370.0,47.0,TN,165.0,SUMNER,659.0,NASHVILLE TN
1235965,2012,6904,6904,M,473.0,18.0,IN,35.0,DELAWARE,527.0,INDIANAPOLIS IN
1236160,2012,5851,5851,M,441.0,39.0,OH,35.0,CUYAHOGA,510.0,CLEVELAND OH
1236368,2012,6904,6904,M,983.0,53.0,WA,53.0,PIERCE,819.0,SEATTLE-TACOMA WA
1236581,2012,5917,5917,C,640.0,29.0,MO,47.0,CLAY,616.0,KANSAS CITY MO-KS
1236807,2012,8106,8106,C,26.0,25.0,MA,1.0,BARNSTABLE,506.0,BOSTON (MANCHESTER) MA-NH
1236904,2012,5851,5851,M,711.0,22.0,LA,17.0,CADDO,612.0,SHREVEPORT LA
1237174,2012,6904,6904,M,27.0,25.0,MA,5.0,BRISTOL,521.0,PROVIDENCE-NEW BEDFORD RI-MA
1237356,2012,5851,5851,M,828.0,56.0,WY,33.0,SHERIDAN,764.0,RAPID CITY SD
1237577,2012,6904,6904,M,974.0,41.0,OR,11.0,COOS,801.0,EUGENE OR
1238374,2012,4904,4904,D,551.0,27.0,MN,163.0,WASHINGTON,613.0,MINNEAPOLIS-ST PAUL MN
1238565,2012,5851,5851,M,749.0,40.0,OK,79.0,LE FLORE,670.0,FT SMITH-FAY-SPRNGDL-RGRS
1238777,2012,4904,4904,D,700.0,22.0,LA,51.0,JEFFERSON,622.0,NEW ORLEANS LA
1238822,2012,8106,8106,C,26.0,25.0,MA,1.0,BARNSTABLE,506.0,BOSTON (MANCHESTER) MA-NH
1238958,2012,130,130,F,245.0,51.0,VA,31.0,CAMPBELL,573.0,ROANOKE-LYNCHBURG VA
1238981,2012,4901,4901,D,105.0,36.0,NY,79.0,PUTNAM,501.0,NEW YORK NY
1239371,2012,5851,5851,M,487.0,26.0,MI,1.0,ALCONA,583.0,ALPENA MI
