,upc,dma_code,year,month
4371,1380014660,523.0,2012,8
5099,1380014660,881.0,2012,8
5827,1380014660,716.0,2012,8
6555,1380014660,532.0,2012,8
7283,1380014660,613.0,2012,8
8011,1380014660,751.0,2012,8
8739,1380014660,539.0,2012,8
9467,1380014660,755.0,2012,8
10195,1380014660,759.0,2012,8
10923,1380014660,549.0,2012,8
11651,1380014660,737.0,2012,8
12379,1380014660,767.0,2012,8
13107,1380014660,561.0,2012,8
13835,1380014660,669.0,2012,8
14563,1380014660,790.0,2012,8
15291,1380014660,577.0,2012,8
16019,1380014660,541.0,2012,8
16747,1380014660,803.0,2012,8
17475,1380014660,592.0,2012,8
18203,1380014660,500.0,2012,8
18931,1380014660,813.0,2012,8
19659,1380014660,622.0,2012,8
20387,1380014660,510.0,2012,8
21115,1380014660,825.0,2012,8
21843,1380014660,642.0,2012,8
22571,1380014660,517.0,2012,8
23299,1380014660,862.0,2012,8
24027,1380014660,698.0,2012,8
24755,1380014660,524.0,2012,8
25483,1380014660,503.0,2012,8
26211,1380014660,722.0,2012,8
26939,1380014660,533.0,2012,8
27667,1380014660,617.0,2012,8
28395,1380014660,752.0,2012,8
29123,1380014660,543.0,2012,8
29851,1380014660,757.0,2012,8
30579,1380014660,762.0,2012,8
31307,1380014660,555.0,2012,8
32035,1380014660,724.0,2012,8
32763,1380014660,771.0,2012,8
33491,1380014660,566.0,2012,8
34219,1380014660,758.0,2012,8
34947,1380014660,800.0,2012,8
35675,1380014660,522.0,2012,8
36403,1380014660,559.0,2012,8
37131,1380014660,807.0,2012,8
37859,1380014660,602.0,2012,8
38587,1380014660,501.0,2012,8
39315,1380014660,819.0,2012,8
40043,1380014660,623.0,2012,8
40771,1380014660,511.0,2012,8
41499,1380014660,828.0,2012,8
42227,1380014660,652.0,2012,8
42955,1380014660,518.0,2012,8
43683,1380014660,866.0,2012,8
44411,1380014660,710.0,2012,8
45139,1380014660,526.0,2012,8
45867,1380014660,507.0,2012,8
46595,1380014660,740.0,2012,8
47323,1380014660,534.0,2012,8
48051,1380014660,658.0,2012,8
48779,1380014660,753.0,2012,8
49507,1380014660,544.0,2012,8
50235,1380014660,770.0,2012,8
50963,1380014660,764.0,2012,8
51691,1380014660,556.0,2012,8
52419,1380014660,611.0,2012,8
53147,1380014660,773.0,2012,8
53875,1380014660,571.0,2012,8
54603,1380014660,531.0,2012,8
55331,1380014660,801.0,2012,8
56059,1380014660,525.0,2012,8
56787,1380014660,573.0,2012,8
57515,1380014660,810.0,2012,8
58243,1380014660,606.0,2012,8
58971,1380014660,504.0,2012,8
59699,1380014660,820.0,2012,8
60427,1380014660,630.0,2012,8
61155,1380014660,512.0,2012,8
61883,1380014660,839.0,2012,8
62611,1380014660,656.0,2012,8
63339,1380014660,521.0,2012,8
64067,1380014660,868.0,2012,8
64795,1380014660,711.0,2012,8
65523,1380014660,528.0,2012,8
66251,1380014660,564.0,2012,8
66979,1380014660,746.0,2012,8
67707,1380014660,538.0,2012,8
68435,1380014660,705.0,2012,8
69163,1380014660,754.0,2012,8
69891,1380014660,548.0,2012,8
70619,1380014660,676.0,2012,8
71347,1380014660,766.0,2012,8
72075,1380014660,560.0,2012,8
72803,1380014660,509.0,2012,8
73531,1380014660,789.0,2012,8
74259,1380014660,576.0,2012,8
74987,1380014660,557.0,2012,8
75715,1380014660,802.0,2012,8
76443,1380014660,530.0,2012,8
77171,1380014660,537.0,2012,8
77899,1380014660,811.0,2012,8
78627,1380014660,618.0,2012,8
4,1380014660,510.0,2012,9
732,1380014660,825.0,2012,9
1460,1380014660,642.0,2012,9
2188,1380014660,517.0,2012,9
2916,1380014660,862.0,2012,9
3644,1380014660,698.0,2012,9
4372,1380014660,524.0,2012,9
5100,1380014660,503.0,2012,9
5828,1380014660,722.0,2012,9
6556,1380014660,533.0,2012,9
7284,1380014660,617.0,2012,9
8012,1380014660,752.0,2012,9
8740,1380014660,543.0,2012,9
