,upc,dma_code,year,month,prices,shares,sales,volume
2151,2150000064,523,2006,5,18.778267041093546,0.008394079964656504,40.458940592592576,2.154562
2152,2150000064,524,2006,5,27.270950627517767,0.0019753086419753087,18.554827555555555,0.680388
2153,2150000064,526,2006,5,18.778267041093546,0.011594202898550723,6.388253777777778,0.340194
2154,2150000064,527,2006,5,26.32731911791507,0.0015760441292356185,5.970930666666668,0.226796
2155,2150000064,529,2006,5,16.796640870927895,0.025180988353792885,38.09410962962963,2.26796
2156,2150000064,531,2006,5,22.55279307950428,0.1047979797979798,212.26765525925896,9.412034
2157,2150000064,532,2006,5,18.778267041093546,0.03257707969749855,29.81185096296295,1.587572
2158,2150000064,533,2006,5,25.601448725913,0.03806734992679355,113.22297022222223,4.422522
2159,2150000064,537,2006,5,18.778267041093546,0.014216806296014215,29.81185096296295,1.587572
2160,2150000064,541,2006,5,18.595438436108026,0.02962962962962963,33.73896844444445,1.814368
2161,2150000064,549,2006,5,18.778267041093546,0.007187780772686434,2.129417925925926,0.113398
2162,2150000064,557,2006,5,22.597332486757523,0.12300123001230012,320.3115386666661,14.17475
2163,2150000064,559,2006,5,22.552793079504305,0.02109704641350211,12.787208148148148,0.56699
2164,2150000064,564,2006,5,22.55279307950431,0.0625,46.03394933333334,2.0411639999999998
2165,2150000064,573,2006,5,22.55279307950431,0.0030903940252382184,23.01697466666667,1.0205819999999999
2166,2150000064,581,2006,5,26.32731911791507,0.031746031746031744,8.956396000000002,0.340194
2167,2150000064,588,2006,5,24.062603494868608,0.004415011037527594,2.728651111111111,0.113398
2168,2150000064,598,2006,5,26.32731911791507,0.005698005698005697,2.9854653333333334,0.113398
2169,2150000064,602,2006,5,22.69403396875211,0.10764507823331353,2797.3489155555562,123.263626
2170,2150000064,603,2006,5,23.118971985265926,0.01801801801801801,2.6216451851851854,0.113398
2171,2150000064,604,2006,5,23.954759893771172,0.1443298969072165,57.04485911111114,2.381358
2172,2150000064,605,2006,5,23.118971985265922,0.07111111111111111,31.459742222222218,1.360776
2173,2150000064,609,2006,5,25.383687608312375,0.25304136253041365,224.51983377777762,8.845044
2174,2150000064,610,2006,5,21.04298266414001,0.030131826741996232,9.544928592592592,0.453592
2175,2150000064,611,2006,5,25.55893346009573,0.15053763440860216,40.576647111111114,1.587572
2176,2150000064,613,2006,5,24.55014644149668,0.009459060005911913,33.40725007407408,1.360776
2177,2150000064,616,2006,5,25.07322119188137,0.30337078651685395,460.60700814814794,18.370476
2178,2150000064,619,2006,5,20.508258142031806,0.14201183431952666,41.86071822222222,2.0411639999999998
2179,2150000064,624,2006,5,25.600467819977865,0.3064182194616977,107.41254844444444,4.1957260000000005
2180,2150000064,631,2006,5,25.33650603283225,0.09039548022598867,11.492436444444444,0.453592
2181,2150000064,632,2006,5,16.796640870927895,0.01839080459770115,7.618821925925926,0.453592
2182,2150000064,637,2006,5,25.979523504375795,0.2368866328257191,206.22182044444443,7.937860000000001
2183,2150000064,638,2006,5,25.949866514074003,0.08205128205128205,11.770651851851852,0.453592
2184,2150000064,640,2006,5,24.579713562130884,0.0341180484476288,69.68225896296295,2.83495
2185,2150000064,652,2006,5,25.126758236885905,0.23258491652274035,287.7817371851852,11.453198
2186,2150000064,669,2006,5,23.496424589106997,0.027777777777777776,7.993342666666668,0.340194
2187,2150000064,670,2006,5,19.155719644934624,0.20370370370370366,71.68326977777778,3.7421339999999996
2188,2150000064,671,2006,5,19.888421758273186,0.419753086419753,38.34022325925927,1.927766
2189,2150000064,675,2006,5,21.70352472086189,0.007448789571694599,4.922272592592591,0.226796
2190,2150000064,678,2006,5,23.118971985265926,0.0855072463768116,154.67706592592597,6.690482
2191,2150000064,679,2006,5,25.20953208705481,0.2948509485094851,388.78463066666654,15.422128
2192,2150000064,682,2006,5,25.076193892252196,0.2586399108138239,164.92823362962966,6.577083999999999
2193,2150000064,687,2006,5,27.27095062751777,0.03716608594657375,12.369885037037037,0.453592
2194,2150000064,693,2006,5,19.519691798638515,0.022248708780294,30.988916148148146,1.587572
2195,2150000064,702,2006,5,25.949866514074003,0.07407407407407407,8.827988888888889,0.340194
2196,2150000064,717,2006,5,23.96824034390834,0.1081081081081081,16.30770311111111,0.680388
2197,2150000064,722,2006,5,24.90850174097675,0.16374269005847952,79.08807985185184,3.175144
2198,2150000064,725,2006,5,25.47394801357873,0.17523809523809522,66.43997940740739,2.6081540000000003
2199,2150000064,734,2006,5,20.665530060298927,0.0404040404040404,2.3434297777777777,0.113398
2200,2150000064,737,2006,5,22.82240208224794,0.0972222222222222,18.116103259259265,0.793786
2201,2150000064,751,2006,5,23.225191019295607,0.17423353995644164,1027.1391823703723,44.22522
2202,2150000064,752,2006,5,23.14504601382073,0.27498869289914063,398.939493037037,17.236496
2203,2150000064,753,2006,5,19.758432956488434,0.27331821617535895,2025.472369481487,102.511792
2204,2150000064,754,2006,5,26.871721911916627,0.08787494719053654,79.22718755555556,2.9483479999999997
2205,2150000064,755,2006,5,27.27095062751777,0.04111600587371512,43.29459762962963,1.587572
2206,2150000064,756,2006,5,27.31588546130837,0.035175879396984924,65.04890237037037,2.381358
2207,2150000064,757,2006,5,20.665530060298924,0.03757018887187341,107.79776977777772,5.216308000000001
2208,2150000064,758,2006,5,24.29488202030927,0.026483320600967662,35.81488340740741,1.4741739999999999
2209,2150000064,759,2006,5,24.911871853511048,0.07339449541284403,33.899477333333344,1.360776
2210,2150000064,760,2006,5,26.95640679098353,0.045112781954887216,27.511223555555556,1.0205819999999999
2211,2150000064,762,2006,5,26.573483859550556,0.048832271762208064,69.30773822222221,2.6081540000000003
2212,2150000064,764,2006,5,28.21458213712045,0.15650865312264864,83.18640681481482,2.9483479999999997
2213,2150000064,766,2006,5,27.082224325597227,0.028985507246376805,15.355350370370374,0.56699
2214,2150000064,767,2006,5,28.214582137120463,0.09179575444635683,63.98954370370372,2.26796
2215,2150000064,770,2006,5,22.406005955788327,0.02396405391912132,45.734332740740726,2.0411639999999998
2216,2150000064,771,2006,5,22.40137313959132,0.2123456790123457,109.2316491851852,4.876114
2217,2150000064,773,2006,5,22.55279307950431,0.3380281690140845,92.06789866666668,4.0823279999999995
2218,2150000064,789,2006,5,20.34655602888392,0.2548227904890085,327.6307439999998,16.102516
