DSNY PIXAR RATATOUILLE/TOY	4219
RING SHREK THE THIRD	1167
TRANSFORMER/TOY	5612
SOUR BUGS	1125
PRINCESS SPIN POP	2702
PIRATES OF THE CARIBBEAN DROP	963
PALETAS DE MANGOS	684
PRINCESS DROP	523
BONE	855
DSNY PRINCESS/TOPPER	1088
SCOOBY DOO DROP	300
CARE BEARS DROP	3546
BUBBLE GUM/STICKER	106
LITTLEST PET SHOP/TOPPER	1196
TRANSFORMER/TOPPER	859
SBS/CARD	28
BARBIE RING	217
LOLLIES	9
JELLY ROSE	5
POKEMON/STICKER	3
POWDER STICKER	19
EASTER EGG SURPRISE POP	441
POWDER FISH BOWL DPFN	1
ICED/CARD	72
MICKEY MOUSE	31
TONGUE TATTOO	4035
ICED EGG	636
TDAC/CARD	1069
SWIRLED TWISTY	72
SWIRLED TWISTY HEART	65
MAGIC ZYPPING STICK RING	24
JUSTICE LEAGUE/CARD	34
HEART PRECIOUS MOMENTS/CARD	2
DPINCRD	9
DSCH	1
CARD SCOOBY DOO	837
CARD BABW	354
BLGN EXTRA DARK	416
PRINCESS HEART/CARD&PEN&S&STKR	93
TOY SPORTS MIX	41
DECORATED	405
TOY SHREK THE THIRD	2637
B-O FAN SHREK THE THIRD	2498
SPP LITTLE MERMAID	3054
B-O FAN M-C-S-H	1149
HEART/DOLL SWIRL	717
NECKLACE FLASH	963
CHILE REBANADITAS	327
SHELL PHONE PRINCESS	129
PAINTBALL	1284
CHILE	55
B-O LITE UP HELICOPTER FAN	1110
B-O HANDLE	12
INCREDIBLE HULK	18
KONG	6
WHISTLE SPIDERMAN	8
POWDER SUPERMAN	4
LIGHT UP NECKLACE	3446
HEART & FLOWER BOUQUET	33
PARTY TIME	21
TWIST & GLOW PUMPKIN	32
SUPERMAN DROP	609
SUPERMAN/PROJECTOR POP	521
PROJECTOR POP SCOOBY DOO	519
FIGURINE SCOOBY DOO	865
DORA & DIEGO	757
MONSTER RING	573
ARMS & LEGS	967
SWS MILK	1447
HAND	7
SPIDERMAN 3	729
GDO WHISTLE	1466
SANTA/LITE UP FAN	455
TONGUE TATTOO PUMPKIN HEAD	111
LOLLIPAL CAT	50
TURKEY	14
MASK	36
BLGN MILK & BLGN WHITE	1111
WIGGLE	508
BODY PART	3
RUDOLPH DECORATED	1
BITTER & MILK	8
ASSORTED MM	205
SNOOPY	77
DK MK	3812
EXTRA DARK & MILK	882
BLGN BTS	51
EXTRA DARK BTS SEMISWEET MILK	225
BLGN SEMISWEET	3550
DK SEMISWEET	12
DK & SWISS MK	14
DARK & SEMISWEET & WHITE	497
BLGN EXTRA DK	508
BTS & EXTRA DK & MK	39
DEEPLY DK	24
DOUBLE MK	5204
DK & EXTRA DK & MK	931
SEMISWEET & MK & BTS	941
SEMISWEET & WT	553
BLGN MK & DK	1882
DEEP MK	145
BTS & MILK	20
SWEET MILK	393
SWS DARK & SWS MILK	298
BITTER & SWEET & MILK	138
SWISS DARK	3688
DARK & EXTRA DARK & MILK	1
EASTER EGG	1156
CAKE	8
GUITAR HANNAH MONTANA	3216
BALL/HOLDER	2988
PICTURE RING HANNAH MONTANA	3369
DISCO BALL HANNAH MONTANA	1615
PICTURE RING BATMAN	276
RING DSNY PIXAR WALL E	150
DSNY PIXAR WALL E/TOY	90
BATMAN POP SLIDER/TOY	88
BALL	728
HANNAH MONTANA STICKER	1848
HANNAH MONTANA TOON	3684
BOBBLE/NBA	2792
B-O HANDLE SPIDERMAN	946
HIGH SCHOOL MUSICAL TOON	2644
DSNY PIXAR CARS/CARD	1233
HEART DORA & DIEGO/LOLLI CARDS	518
DSNY PIXAR CARS SPP/TOY	462
REINDEER LIPS	446
SNOWMAN HEAD	891
BUBBLE GUM PUMPKIN	93
WILD HEARTS BOUQUET	28
MONSTER GUMMY HEADS	19
LIPS & FANGS	187
DAISY	463
DIZZY SPORT POP	1586
ROBO/WHISTLE	12
HEART DIZZY POP	8
TAZMANIAN DEVIL TWEETY	6
WB FIGURE	4
HEART/CARD	554
HEART SPIDERMAN/CARD	394
CRACKLING CANDY/POWDER	537
POKEMON/CARD	355
SPIDERMAN 3/CARD	350
SHREK	348
GHOSTLY GLOW	42
SLO POKE	54
CRACKLIN CANDY	10
TDAC BONE	9
PRECIOUS MOMENTS/CARD	2
FLOWER/POWDER	687
CARD PIRATES OF THE CARIBBEAN	340
ANCHO PEPPER	111
B-O HANDLE PRINCESS	61
B-O FAN TWEETY	1262
PALERINDAS	27
GRAB POP/GRABBER	442
TWISTLOLLIES	22
ICICLE POP	2815
BUDDY BOO PEANUT/CARD	553
HELLO KITTY	406
SWIRLED HEART	373
ROSE BOUQUET	30
HEADLIGHT HELLO KITTY	131
POWDER STICKER JUSTICE LEAGUE	6
HEADLIGHT	5
EXTRA DK BTS	1639
DK BTS SEMISWEET MK & DK	45
BITTER & MK	4
SWISS BITTERSWEET	30
BUNNY/TOY	474
BLOW CHERRY	295
DUM DUM SHREK	296
PICTURE RING FAIRIES	1383
PRINCESS/CARD	709
HANNAH MONTANA/CARD	557
HIGH SCHOOL MUSICAL/CARD	441
LITTLEST PET SHOP/CARD	361
EASTER BOUQUET BUNNY	128
LOVE LOLLIES HEART	97
RING & STICKER	87
DMMC/CARD	32
DR SEUSS THE GRINCH	1
THE SIMPSONS	51
TROPICAL FISH	3
BATMAN/MAGIC ZYPPING STICK	388
MARVEL HEROES	388
CRAYOLA/CARD & CRAYON	341
EGG HUNT/MAGIC ZYPPING STICK	88
TONGUE TATTOO MONSTER	4
RING/POWDER	720
JELLY HAMTARO	546
SPORTACULAR LOLLIPOPS/POWDER	348
LITE UP EASTER BUNNY/FAN	67
CATATOVILLE/TOY	48
TREE	46
MODERATTO/LIQUID	30
SAILBOAT	28
BOMB	28
CHILLI	12
SANDY POP/CHILI	7
HEART/TOY SWIRL	5
GUM MARIMBAS	2
HEADLIGHT NASCAR	12
HEART/FLOWER & TOY	1
SWISS DK & SWISS BITTER	33
BTS & DK & MK & WT	12
BTS & MILK & WHITE	26
BTS & DARK & MILK	13
BTS & DARK & MILK & WHITE	9
