BABY	2043
FOAM	2498
LIZARD	219
FROG LEGS	233
ROACH	207
DOG BONE	2795
PASTILLE	653
TATTOO	1654
FROGGEE	35
TIRE TREAD	329
SEA CRITTER	65
TONGUE	1025
MEXICAN DINNER FOOD	155
BED BUG	1088
BOOGER	2377
BRAIN	1843
HOOP	39
TEAR DROP	541
WIGGLER	1
FRIES	2996
VAMPIRE BAT	63
JUNK FOOD	717
LOBSTER TAIL	32
PINWHEEL	421
SKELETON	585
BRACELET AND WATCH	983
SLIME	272
MOTHER OF PEARL	4
PELLETS	122931
ROLLS	79292
CHEWABLE DROP	3263
DROPS	5450
CAPSULES	12155
TAPE	11848
BUTTERFLY	880
MEXICAN HAT	15
TABLETS	9945
PEARL	1568
BRACELET AND PUZZLE	658
GHOULS	731
ALPHABET AND NUMBER	8
REGULAR	75635
MINIATURE	56989
TIDBIT	12059
MONSTER	145
SPIDER	2324
DOG	611
SMILE	24
FLAKE	155
SUPER STRING	3135
BASKETBALL AND LIQUID	9
BRICK	5152
BUNNY PUFF	138
PEBBLE	156
FEET	38
PIZZA SLICE	475
FLAG	39
SQUIRMIE WORM	73
CHICKEN BONE	15
HEART AND FLOWER	403
ZOO ANIMAL	604
SNAKE AND EGG	119
LIP AND HEART	30
PIGEON EGG	86
HEN EGG	20
BASKET	948
HEART PUFF	5
PILGRIM	27
FLYING SAUCER	10
SATELLITE	267
SMILEY FACE	20
SYRUP	417
BRACELET & WATCH	891
PEELER STRIP	63
LAVA BALL	2579
PANDA	123
ROCK AND DINOSAUR	3
CHAMPAGNE GLASS	419
CORN AND PUMPKIN	807
BUGS AND GRUBS	83
LIPSTICK & NECKLACE	440
LIPS AND STARS	5
SUNDAE	835
PELLET	4
BANDS	458
CANE TREE	642
SANTA AND REINDEER	31
SHOT GLASS	2509
WATCH AND NECKLACE	226
BATS AND RATS	31
BONE AND SKULL	556
WATCH & NECKLACE	735
TOOL	868
OCEAN CREATURE	968
POUCH	2351
MOUSE	608
PETAL	65
BUNNY EARS BAR	4437
LAMB	2094
SOLID FLOWER	801
MONSTER RING	573
ROULETTE WHEEL AND POKER CHIP	363
ARMS AND LEGS	967
HAND	1617
HOLLOW ROSE	1259
CASINO CHIP	6
LOVEBIRDS ON HEART	3
SOLID TOOLS	3
DOUBLE HEART	141
SOLID SANTA FACE	50
PIG	323
MRS SANTA	18
SOLID TREE	11
BASKET & EGG	21
HONEY POT	1
BUNNY & EGG	12
HOLLOW PENGUIN	1780
GINGERBREAD BOY	1120
CLOUD	720
DIAMOND	1643
RELIGIOUS SHAPE	152
BAND AID	23
SPACEMAN	11
ROCKING HORSE	136
SOCCER PLAYER	27
SOLID BASEBALL	10
FLIP FLOP	8
HOCKEY PUCK	244
SOLID KITTEN	9
CHEERLEADER	19
SOLID BASKET	5
TRUCK	6
SOLID HEN	14
SOLID DUCK	47
MUMMY	4
SOLID SPORT CAR	6
IRISH CLOVER	3
GOLF BAG WITH CLUBS	5
HOCKEY PLAYER	5
OVAL	306
SOLID PUPPY	2
SOLID BAT	144
DOME	178
BALLERINA	5
POPSICLE	1882
TWIG	633
TOMBSTONE BAR	3153
HOLLOW BEE	668
HOLLOW COW	640
HOLLOW DOG	1128
HOLLY AND BERRIES	966
HOUSE	799
FLY	2209
HIPPO	740
HEART & LETTER	609
STRAWZ	181
SOLID FOOTBALL	1223
CANDY CANE	349
SOLID ALLIGATOR	39
SOCCER BALL	12
CAROUSEL HORSE	6
SHEEP	6
SMILEY EGG	15
CELL PHONE	11
SOLID HOCKEY PUCK	4
GOALIE	4
MOTORCYCLE	3
BUMBLE BEE	6
SOLID CANDY CANE	3
GINGERBREAD KID	3
CUPCAKE	1225
SOLID HORSESHOE	348
HOLLOW ORNAMENT	524
HOLLOW CHRISTMAS TREE	124
SOLID PUMPKIN FACE	17
ICE CREAM BAR	21
CANDY CANE AND HOLLY	2
CORN & PUMPKIN	1890
